URL,GameDate,HomeRecord,AwayRecord,HomeTeam,AwayTeam,HomeScore,AwayScore,WinningTeam,LosingTeam,Belong_Team,Player,Minute,FG,FGA,FG%,FG3,FG3A,FG3%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUMUS,Series
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,LAL,D'Angelo Russell,32.5,9,17,.529,7,14,.500,0,0,,0,2,2,7,0,0,4,1,25,+23,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,LAL,LeBron James,28.8,10,12,.833,1,1,1.000,2,5,.400,0,4,4,9,0,0,1,0,23,+13,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,LAL,Anthony Davis,27.5,10,20,.500,0,4,.000,1,4,.250,2,10,12,1,0,0,5,3,21,+14,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,LAL,Rui Hachimura,25.9,6,9,.667,2,4,.500,0,0,,1,3,4,4,1,0,0,1,14,+6,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,LAL,Austin Reaves,25.2,2,9,.222,1,5,.200,2,2,1.000,1,3,4,6,0,3,1,2,7,+6,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,LAL,Spencer Dinwiddie,25.0,3,6,.500,3,6,.500,0,0,,0,1,1,1,1,3,0,3,9,+20,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,LAL,Taurean Prince,24.2,3,8,.375,2,2,1.000,0,0,,2,3,5,5,2,1,1,2,8,+13,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,LAL,Max Christie,20.2,5,10,.500,2,4,.500,0,0,,2,5,7,3,2,1,0,1,12,+8,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,LAL,Jaxson Hayes,18.6,3,5,.600,0,0,,1,1,1.000,4,3,7,2,0,0,1,4,7,+6,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,LAL,Maxwell Lewis,6.1,1,4,.250,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,-12,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,LAL,Colin Castleton,6.1,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-12,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,TOR,Gradey Dick,32.3,6,14,.429,2,5,.400,0,0,,1,1,2,0,0,0,0,0,14,-14,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,TOR,Bruce Brown,28.1,2,6,.333,0,2,.000,1,1,1.000,1,5,6,1,2,0,1,3,5,-12,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,TOR,Immanuel Quickley,27.2,7,12,.583,3,7,.429,3,3,1.000,0,3,3,6,1,0,3,1,20,-8,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,TOR,Kelly Olynyk,26.8,6,10,.600,0,2,.000,2,2,1.000,2,5,7,4,1,2,1,4,14,-18,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,TOR,RJ Barrett,26.4,11,18,.611,2,3,.667,4,7,.571,0,6,6,6,0,0,0,3,28,-9,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,TOR,Garrett Temple,28.1,2,8,.250,0,5,.000,2,4,.500,0,1,1,0,2,0,2,3,6,-5,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,TOR,Jordan Nwora,25.7,2,6,.333,2,4,.500,0,0,,0,5,5,1,1,0,4,0,6,-8,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,TOR,Mouhamadou Gueye,14.2,3,7,.429,0,1,.000,0,0,,0,2,2,2,1,3,5,2,6,-3,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,TOR,Javon Freeman-Liberty,13.9,2,5,.400,0,1,.000,1,2,.500,1,4,5,1,2,0,1,2,5,-21,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,TOR,Kobi Simmons,10.3,2,3,.667,1,2,.500,0,0,,0,3,3,3,1,1,0,1,5,+1,2024LALTOR
202404020TOR.html,2024-04-02,23-52,43-33,TOR,LAL,111,128,LAL,TOR,TOR,Jalen McDaniels,6.8,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,+12,2024LALTOR
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,MIL,Giannis Antetokounmpo,36.3,15,21,.714,0,0,,5,9,.556,3,12,15,10,0,0,2,2,35,+2,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,MIL,Khris Middleton,30.9,9,19,.474,3,8,.375,3,4,.750,3,6,9,6,2,0,4,3,24,-14,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,MIL,Malik Beasley,29.9,2,13,.154,1,10,.100,0,0,,1,1,2,1,2,0,1,3,5,-7,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,MIL,Brook Lopez,26.4,3,9,.333,0,4,.000,0,0,,1,1,2,1,1,3,0,1,6,-7,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,MIL,Patrick Beverley,21.9,1,4,.250,0,2,.000,0,0,,1,4,5,3,1,1,0,1,2,-8,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,MIL,Pat Connaughton,29.1,4,11,.364,3,10,.300,4,4,1.000,3,5,8,5,0,1,1,2,15,+4,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,MIL,Bobby Portis,25.5,6,14,.429,0,3,.000,0,0,,5,7,12,3,0,1,1,1,12,+3,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,MIL,Jae Crowder,20.7,2,7,.286,1,6,.167,0,0,,0,2,2,1,1,0,0,1,5,+4,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,MIL,A.J. Green,13.6,2,4,.500,2,4,.500,0,0,,0,0,0,1,0,0,1,1,6,+3,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,MIL,Danilo Gallinari,5.6,1,1,1.000,1,1,1.000,0,1,.000,1,1,2,0,1,0,2,2,3,0,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,WAS,Deni Avdija,38.8,10,17,.588,0,5,.000,3,4,.750,1,7,8,5,1,1,3,4,23,+9,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,WAS,Corey Kispert,38.1,10,18,.556,4,11,.364,3,4,.750,1,6,7,0,1,1,0,0,27,+5,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,WAS,Anthony Gill,38.0,6,11,.545,0,2,.000,0,0,,1,8,9,0,0,0,2,3,12,+7,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,WAS,Jordan Poole,35.3,6,14,.429,1,6,.167,3,3,1.000,0,4,4,13,2,0,3,3,16,+7,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,WAS,Marvin Bagley III,9.3,2,5,.400,0,1,.000,0,0,,0,3,3,0,1,0,1,0,4,+5,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,WAS,Tristan Vukcevic,31.0,5,11,.455,1,6,.167,3,3,1.000,1,6,7,3,1,0,1,4,14,+6,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,WAS,Johnny Davis,17.9,0,2,.000,0,1,.000,1,2,.500,0,2,2,1,1,0,0,4,1,-7,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,WAS,Jared Butler,17.5,7,10,.700,3,3,1.000,0,0,,1,2,3,3,2,0,0,0,17,-2,2024MILWAS
202404020WAS.html,2024-04-02,15-61,47-28,WAS,MIL,117,113,WAS,MIL,WAS,Eugene Omoruyi,14.0,1,5,.200,0,3,.000,1,1,1.000,0,1,1,1,0,0,0,2,3,-10,2024MILWAS
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,NYK,Josh Hart,45.6,1,3,.333,0,0,,0,0,,1,5,6,7,2,0,2,3,2,-4,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,NYK,Miles McBride,44.8,9,16,.563,4,8,.500,2,2,1.000,0,2,2,2,0,1,2,3,24,-4,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,NYK,Jalen Brunson,36.3,5,18,.278,1,6,.167,9,10,.900,0,2,2,10,0,0,5,2,20,-9,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,NYK,Donte DiVincenzo,35.2,11,21,.524,6,15,.400,3,3,1.000,0,4,4,4,4,0,4,3,31,-17,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,NYK,Isaiah Hartenstein,18.3,2,2,1.000,0,0,,0,0,,0,1,1,2,3,1,0,1,4,+5,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,NYK,Precious Achiuwa,26.9,1,4,.250,0,0,,0,0,,3,3,6,0,1,0,0,2,2,-9,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,NYK,Bojan Bogdanović,19.4,6,10,.600,1,4,.250,3,4,.750,2,4,6,0,0,0,1,1,16,0,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,NYK,Mitchell Robinson,10.1,0,1,.000,0,0,,0,2,.000,1,0,1,0,1,0,0,2,0,-6,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,NYK,Alec Burks,3.2,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-6,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,MIA,Jimmy Butler,38.7,5,12,.417,1,3,.333,6,6,1.000,1,4,5,6,0,0,4,3,17,+10,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,MIA,Terry Rozier,34.9,10,15,.667,8,11,.727,6,6,1.000,0,5,5,3,0,1,3,0,34,+10,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,MIA,Bam Adebayo,32.5,6,9,.667,0,0,,3,4,.750,2,7,9,1,1,0,1,0,15,+13,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,MIA,Duncan Robinson,29.0,2,7,.286,2,7,.286,0,0,,0,2,2,1,1,0,2,4,6,-6,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,MIA,Nikola Jović,25.3,1,2,.500,1,2,.500,2,2,1.000,0,3,3,6,1,0,1,1,5,+13,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,MIA,Haywood Highsmith,28.1,6,11,.545,2,4,.500,0,0,,4,4,8,1,1,0,0,2,14,-1,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,MIA,Caleb Martin,23.6,3,8,.375,1,3,.333,0,0,,0,2,2,3,0,2,3,4,7,+5,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,MIA,Kevin Love,15.5,2,8,.250,2,7,.286,2,2,1.000,0,3,3,3,0,1,1,1,8,-3,2024MIANYK
202404020MIA.html,2024-04-02,42-33,44-31,MIA,NYK,109,99,MIA,NYK,MIA,Jaime Jaquez Jr.,12.4,1,2,.500,0,1,.000,1,1,1.000,0,2,2,0,1,0,2,2,3,+9,2024MIANYK
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,OKC,Luguentz Dort,33.2,5,10,.500,3,6,.500,2,4,.500,2,6,8,3,2,2,3,1,15,+6,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,OKC,Aaron Wiggins,32.2,5,13,.385,0,2,.000,5,5,1.000,2,2,4,1,3,1,0,5,15,+3,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,OKC,Chet Holmgren,29.1,7,14,.500,3,6,.500,5,5,1.000,1,6,7,1,0,2,3,4,22,-11,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,OKC,Jaylin Williams,28.4,2,8,.250,0,5,.000,2,2,1.000,1,5,6,12,1,0,2,4,6,+1,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,OKC,Josh Giddey,27.6,4,8,.500,0,1,.000,2,4,.500,1,4,5,3,0,1,2,1,10,-4,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,OKC,Isaiah Joe,27.9,4,13,.308,4,11,.364,2,2,1.000,1,3,4,7,2,1,2,0,14,-3,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,OKC,Gordon Hayward,19.6,3,5,.600,1,2,.500,0,0,,0,2,2,2,0,1,0,1,7,-3,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,OKC,Kenrich Williams,14.3,3,4,.750,2,2,1.000,0,0,,1,0,1,0,1,0,1,1,8,-9,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,OKC,Cason Wallace,13.7,3,8,.375,0,1,.000,0,0,,1,2,3,1,1,0,1,1,6,-7,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,OKC,Lindy Waters III,8.0,1,3,.333,0,2,.000,0,0,,2,0,2,0,0,1,0,0,2,+7,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,OKC,Mike Muscala,5.9,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,0,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,PHI,Kelly Oubre Jr.,36.8,8,16,.500,4,7,.571,5,5,1.000,2,4,6,2,1,1,2,2,25,+8,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,PHI,Tobias Harris,35.0,5,14,.357,5,8,.625,3,4,.750,0,6,6,4,0,1,1,3,18,+1,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,PHI,Cameron Payne,29.6,4,11,.364,2,5,.400,0,0,,3,7,10,5,1,0,0,3,10,-1,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,PHI,Joel Embiid,29.4,6,14,.429,0,3,.000,12,12,1.000,1,5,6,7,3,0,6,4,24,-2,2024OKCPHI
202404020PHI.html,2024-04-02,41-35,52-23,PHI,OKC,109,105,PHI,OKC,PHI,Kyle Lowry,27.5,1,1,1.000,1,1,1.000,1,2,.500,0,1,1,4,0,0,1,3,4,+4,2024OKCPHI
